naics_code,naics_description
31171,Seafood Product Preparation and Packaging
22131,Water Supply and Irrigation Systems
32411,Petroleum Refineries
42269,Other Chemical and Allied Products Wholesalers
21113,Natural Gas Extraction
21222,Gold Ore and Silver Ore Mining
22132,Sewage Treatment Facilities
311712,Fresh and Frozen Seafood Processing
325311,Nitrogenous Fertilizer Manufacturing
21112,Crude Petroleum Extraction
49319,Other Warehousing and Storage
21111,Oil and Gas Extraction
42469,Other Chemical and Allied Products Merchant Wholesalers
221112,Fossil Fuel Electric Power Generation
45431,Fuel Dealers
22111,Electric Power Generation
42441,General Line Grocery Merchant Wholesalers
32512,Industrial Gas Manufacturing
42471,Petroleum Bulk Stations and Terminals
211112,Natural Gas Liquid Extraction
322121,Paper (except Newsprint) Mills
54171,"Research and Development in the Physical, Engineering, and Life Sciences"
32551,Paint and Coating Manufacturing
49312,Refrigerated Warehousing and Storage
325221,Cellulosic Organic Fiber Manufacturing
32211,Pulp Mills
311612,Meat Processed from Carcasses
325199,All Other Basic Organic Chemical Manufacturing
32212,Paper Mills
331314,Secondary Smelting and Alloying of Aluminum
92811,National Security
311812,Commercial Bakeries
337214,Office Furniture (except Wood) Manufacturing
311615,Poultry Processing
32213,Paperboard Mills
325211,Plastics Material and Resin Manufacturing
32518,Other Basic Inorganic Chemical Manufacturing
92711,Space Research and Technology
56292,Materials Recovery Facilities
562112,Hazardous Waste Collection
31152,Ice Cream and Frozen Dessert Manufacturing
33141,Nonferrous Metal (except Aluminum)
311999,All Other Miscellaneous Food Manufacturing
326299,All Other Rubber Product Manufacturing
11239,Other Poultry Production
327215,Glass Product Manufacturing Made of Purchased Glass
32532,Pesticide and Other Agricultural Chemical Manufacturing
327992,Ground or Treated Mineral and Earth Manufacturing
314992,Tire Cord and Tire Fabric Mills
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
33281,"Coating, Engraving, Heat Treating, and Allied Activities"
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
325212,Synthetic Rubber Manufacturing
325181,Alkalies and Chlorine Manufacturing
32614,Polystyrene Foam Product Manufacturing
326199,All Other Plastics Product Manufacturing
33251,Hardware Manufacturing
32619,Other Plastics Product Manufacturing
211111,Crude Petroleum and Natural Gas Extraction
325314,Fertilizer (Mixing Only) Manufacturing
32519,Other Basic Organic Chemical Manufacturing
42491,Farm Supplies Merchant Wholesalers
32522,Artificial and Synthetic Fibers and Filaments Manufacturing
32511,Petrochemical Manufacturing
42291,Farm Supplies Wholesalers
454319,Other Fuel Dealers
482111,Line-Haul Railroads
311225,Fats and Oils Refining and Blending
31181,Bread and Bakery Product Manufacturing
312113,Ice Manufacturing
44511,Supermarkets and Other Grocery Retailers (except Convenience Retailers)
33636,Motor Vehicle Seating and Interior Trim Manufacturing
33111,Iron and Steel Mills and Ferroalloy Manufacturing
311511,Fluid Milk Manufacturing
312111,Soft Drink Manufacturing
311991,Perishable Prepared Food Manufacturing
32599,All Other Chemical Product and Preparation Manufacturing
49311,General Warehousing and Storage
11251,Aquaculture
54133,Engineering Services
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
31151,Dairy Product (except Frozen) Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
325412,Pharmaceutical Preparation Manufacturing
115112,"Soil Preparation, Planting, and Cultivating"
339991,"Gasket, Packing, and Sealing Device Manufacturing"
92411,Administration of Air and Water Resource and Solid Waste Management Programs
311513,Cheese Manufacturing
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311611,Animal (except Poultry) Slaughtering
212291,Uranium-Radium-Vanadium Ore Mining
11232,Broilers and Other Meat Type Chicken Production
31183,Tortilla Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
562211,Hazardous Waste Treatment and Disposal
339999,All Other Miscellaneous Manufacturing
332116,Metal Stamping
311412,Frozen Specialty Food Manufacturing
325192,Cyclic Crude and Intermediate Manufacturing
325188,All Other Basic Inorganic Chemical Manufacturing
332811,Metal Heat Treating
326121,Unlaminated Plastics Profile Shape Manufacturing
48691,Pipeline Transportation of Refined Petroleum Products
562219,Other Nonhazardous Waste Treatment and Disposal
33131,Alumina and Aluminum Production and Processing
32561,Soap and Cleaning Compound Manufacturing
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
311422,Specialty Canning
48422,"Specialized Freight (except Used Goods) Trucking, Local"
42271,Petroleum Bulk Stations and Terminals
31161,Animal Slaughtering and Processing
31111,Animal Food Manufacturing
31199,All Other Food Manufacturing
311111,Dog and Cat Food Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
311711,Seafood Canning
331521,Aluminum Die-Casting Foundries
56179,Other Services to Buildings and Dwellings
49313,Farm Product Warehousing and Storage
213114,Support Activities for Metal Mining
71399,All Other Amusement and Recreation Industries
334412,Bare Printed Circuit Board Manufacturing
21223,"Copper, Nickel, Lead, and Zinc Mining"
325312,Phosphatic Fertilizer Manufacturing
115114,Postharvest Crop Activities (except Cotton Ginning)
81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
212234,Copper Ore and Nickel Ore Mining
33441,Semiconductor and Other Electronic Component Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
32742,Gypsum Product Manufacturing
11511,Support Activities for Crop Production
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
42241,General Line Grocery Wholesalers
11192,Cotton Farming
541513,Computer Facilities Management Services
325193,Ethyl Alcohol Manufacturing
334413,Semiconductor and Related Device Manufacturing
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
54199,"All Other Professional, Scientific, and Technical Services"
48821,Support Activities for Rail Transportation
48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
62322,Residential Mental Health and Substance Abuse Facilities
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers
212299,All Other Metal Ore Mining
31213,Wineries
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
42272,Petroleum and Petroleum Products Wholesalers (Except Bulk Stations and Terminals)
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
42459,Other Farm Product Raw Material Merchant Wholesalers
115111,Cotton Ginning
213112,Support Activities for Oil and Gas Operations
61131,"Colleges, Universities, and Professional Schools"
221119,Other Electric Power Generation
32552,Adhesive Manufacturing
44422,"Nursery, Garden Center, and Farm Supply Stores"
31212,Breweries
71394,Fitness and Recreational Sports Centers
31141,Frozen Food Manufacturing
56191,Packaging and Labeling Services
311822,Flour Mixes and Dough Manufacturing from Purchased Flour
327993,Mineral Wool Manufacturing
331528,Other Nonferrous Foundries (except Die-Casting)
32521,Resin and Synthetic Rubber Manufacturing
562213,Solid Waste Combustors and Incinerators
31142,"Fruit and Vegetable Canning, Pickling, and Drying"
22133,Steam and Air-Conditioning Supply
311512,Creamery Butter Manufacturing
325612,Polish and Other Sanitation Good Manufacturing
311421,Fruit and Vegetable Canning
111332,Grape Vineyards
336412,Aircraft Engine and Engine Parts Manufacturing
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation
32531,Fertilizer and Compost Manufacturing
327211,Flat Glass Manufacturing
115116,Farm Management Services
311211,Flour Milling
327212,Other Pressed and Blown Glass and Glassware Manufacturing
33391,Pump and Compressor Manufacturing
325613,Surface Active Agent Manufacturing
325611,Soap and Other Detergent Manufacturing
81411,Private Households
311423,Dried and Dehydrated Food Manufacturing
111219,Other Vegetable (except Potato) and Melon Farming
331222,Steel Wire Drawing
48411,"General Freight Trucking, Local"
31211,Soft Drink and Ice Manufacturing
221122,Electric Power Distribution
11121,Vegetable and Melon Farming
48611,Pipeline Transportation of Crude Oil
221118,Other Electric Power Generation
56173,Landscaping Services
21239,Other Nonmetallic Mineral Mining and Quarrying
212391,"Potash, Soda, and Borate Mineral Mining"
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
99999,Unclassified Establishment
48211,Rail Transportation
325414,Biological Product (except Diagnostic) Manufacturing
22112,"Electric Power Transmission, Control, and Distribution"
335991,Carbon and Graphite Product Manufacturing
331221,Rolled Steel Shape Manufacturing
92214,Correctional Institutions
212221,Gold Ore Mining
62211,General Medical and Surgical Hospitals
311613,Rendering and Meat Byproduct Processing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
331316,Aluminum Extruded Product Manufacturing
32541,Pharmaceutical and Medicine Manufacturing
42449,Other Grocery and Related Products Merchant Wholesalers
488999,All Other Support Activities for Transportation
111211,Potato Farming
42421,Drugs and Druggists' Sundries Merchant Wholesalers
22121,Natural Gas Distribution
48621,Pipeline Transportation of Natural Gas
48412,"General Freight Trucking, Long-Distance"
32731,Cement Manufacturing
11142,Nursery and Floriculture Production
33429,Other Communications Equipment Manufacturing
321114,Wood Preservation
42443,Dairy Product (except Dried or Canned) Merchant Wholesalers
541612,Human Resources Consulting Services
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
111998,All Other Miscellaneous Crop Farming
62321,Residential Intellectual and Developmental Disability Facilities
334419,Other Electronic Component Manufacturing
11133,Noncitrus Fruit and Tree Nut Farming
32799,All Other Nonmetallic Mineral Product Manufacturing
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers
11131,Orange Groves
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
562212,Solid Waste Landfill
31193,Flavoring Syrup and Concentrate Manufacturing
32562,Toilet Preparation Manufacturing
11199,All Other Crop Farming
333611,Turbine and Turbine Generator Set Units Manufacturing
45521,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers"
42349,Other Professional Equipment and Supplies Merchant Wholesalers
42339,Other Construction Material Merchant Wholesalers
42447,Meat and Meat Product Merchant Wholesalers
42442,Packaged Frozen Food Merchant Wholesalers
42495,"Paint, Varnish, and Supplies Merchant Wholesalers"
325411,Medicinal and Botanical Manufacturing
311221,Wet Corn Milling and Starch Manufacturing
327113,Porcelain Electrical Supply Manufacturing
11115,Corn Farming
42149,Other Professional Equipment and Supplies Wholesalers
42451,Grain and Field Bean Merchant Wholesalers
45439,Other Direct Selling Establishments
42399,Other Miscellaneous Durable Goods Merchant Wholesalers
111191,Oilseed and Grain Combination Farming
332111,Iron and Steel Forging
332112,Nonferrous Forging
33641,Aerospace Product and Parts Manufacturing
33999,All Other Miscellaneous Manufacturing
49111,Postal Service
32513,Synthetic Dye and Pigment Manufacturing
324121,Asphalt Paving Mixture and Block Manufacturing
331522,Nonferrous (except Aluminum) Die-Casting Foundries
56221,Waste Treatment and Disposal
322291,Sanitary Paper Product Manufacturing
48831,Port and Harbor Operations
11132,Citrus (except Orange) Groves
32592,Explosives Manufacturing
31323,Nonwoven Fabric Mills
114111,Finfish Fishing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
48832,Marine Cargo Handling
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
322221,Coated and Laminated Packaging Paper and Plastics Film Manufacturing
33651,Railroad Rolling Stock Manufacturing
311821,Cookie and Cracker Manufacturing
212324,Kaolin and Ball Clay Mining
31133,Confectionery Manufacturing from Purchased Chocolate
311911,Roasted Nuts and Peanut Butter Manufacturing
331423,"Secondary Smelting, Refining, and Alloying of Copper"
31411,Carpet and Rug Mills
325131,Inorganic Dye and Pigment Manufacturing
339112,Surgical and Medical Instrument Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing
325991,Custom Compounding of Purchased Resins
31331,Textile and Fabric Finishing Mills
31194,Seasoning and Dressing Manufacturing
322222,Coated and Laminated Paper Manufacturing
31192,Coffee and Tea Manufacturing
42448,Fresh Fruit and Vegetable Merchant Wholesalers
541711,Research and Development in Biotechnology
42384,Industrial Supplies Merchant Wholesalers
33791,Mattress Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
42251,Grain and Field Bean Wholesalers
44424,"Nursery, Garden Center, and Farm Supply Retailers"
311119,Other Animal Food Manufacturing
48699,All Other Pipeline Transportation
484121,"General Freight Trucking, Long-Distance, Truckload"
333995,Fluid Power Cylinder and Actuator Manufacturing
31123,Breakfast Cereal Manufacturing
111199,All Other Grain Farming
48321,Inland Water Transportation
23622,Commercial and Institutional Building Construction
33639,Other Motor Vehicle Parts Manufacturing
11231,Chicken Egg Production
311919,Other Snack Food Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
33522,Major Household Appliance Manufacturing
332992,Small Arms Ammunition Manufacturing
331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)
11521,Support Activities for Animal Production
11111,Soybean Farming
11211,"Beef Cattle Ranching and Farming, including Feedlots"
31134,Nonchocolate Confectionery Manufacturing
331111,Iron and Steel Mills
42292,"Book, Periodical, and Newspaper Wholesalers"
71312,Amusement Arcades
71311,Amusement and Theme Parks
324191,Petroleum Lubricating Oil and Grease Manufacturing
33637,Motor Vehicle Metal Stamping
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)"
221113,Nuclear Electric Power Generation
42242,Packaged Frozen Food Wholesalers
42243,Dairy Product (Except Dried or Canned) Wholesalers
42247,Meat and Meat Product Wholesalers
31214,Distilleries
48811,Airport Operations
56199,All Other Support Services
31121,Flour Milling and Malt Manufacturing
311352,Confectionery Manufacturing from Purchased Chocolate
322211,Corrugated and Solid Fiber Box Manufacturing
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
313311,Broadwoven Fabric Finishing Mills
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
53112,Lessors of Nonresidential Buildings (except Miniwarehouses)
332117,Powder Metallurgy Part Manufacturing
33312,Construction Machinery Manufacturing
561431,Private Mail Centers
324199,All Other Petroleum and Coal Products Manufacturing
92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
325413,In-Vitro Diagnostic Substance Manufacturing
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
335222,Household Refrigerator and Home Freezer Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
333613,Mechanical Power Transmission Equipment Manufacturing
33634,Motor Vehicle Brake System Manufacturing
32629,Other Rubber Product Manufacturing
336211,Motor Vehicle Body Manufacturing
33635,Motor Vehicle Transmission and Power Train Parts Manufacturing
332991,Ball and Roller Bearing Manufacturing
332321,Metal Window and Door Manufacturing
32419,Other Petroleum and Coal Products Manufacturing
42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
11114,Wheat Farming
11119,Other Grain Farming
53111,Lessors of Residential Buildings and
42444,Poultry and Poultry Product Merchant Wholesalers
42446,Fish and Seafood Merchant Wholesalers
332439,Other Metal Container Manufacturing
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans
56121,Facilities Support Services
331421,"Copper Rolling, Drawing, and Extruding"
331312,Primary Aluminum Production
32721,Glass and Glass Product Manufacturing
48849,Other Support Activities for Road Transportation
325132,Synthetic Organic Dye and Pigment Manufacturing
484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
311811,Retail Bakeries
92119,Other General Government Support
33661,Ship and Boat Building
336611,Ship Building and Repairing
333314,Optical Instrument and Lens Manufacturing
56211,Waste Collection
92219,"Other Justice, Public Order, and Safety Activities"
333515,Cutting Tool and Machine Tool Accessory Manufacturing
333992,Welding and Soldering Equipment Manufacturing
322215,Nonfolding Sanitary Food Container Manufacturing
33511,Electric Lamp Bulb and Part Manufacturing
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
322122,Newsprint Mills
31122,Starch and Vegetable Fats and Oils Manufacturing
336399,All Other Motor Vehicle Parts Manufacturing
311313,Beet Sugar Manufacturing
33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336312,Gasoline Engine and Engine Parts Manufacturing
44111,New Car Dealers
44112,Used Car Dealers
31182,"Cookie, Cracker, and Pasta Manufacturing"
11233,Turkey Production
72112,Casino Hotels
33411,Computer and Peripheral Equipment Manufacturing
31131,Sugar Manufacturing
81311,Religious Organizations
331524,Aluminum Foundries (except Die-Casting)
311223,Other Oilseed Processing
42382,Farm and Garden Machinery and Equipment Merchant Wholesalers
33242,Metal Tank (Heavy Gauge) Manufacturing
44131,Automotive Parts and Accessories Stores
11291,Apiculture
31135,Chocolate and Confectionery Manufacturing
337211,Wood Office Furniture Manufacturing
327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
321219,Reconstituted Wood Product Manufacturing
482112,Short Line Railroads
42181,Construction and Mining (Except Oil Well) Machinery and Equipment Wholesalers
31511,Hosiery and Sock Mills
212399,All Other Nonmetallic Mineral Mining
33591,Battery Manufacturing
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
332212,Hand and Edge Tool Manufacturing
333618,Other Engine Equipment Manufacturing
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
11113,Dry Pea and Bean Farming
11112,Oilseed (except Soybean) Farming
11194,Hay Farming
71219,Nature Parks and Other Similar Institutions
333111,Farm Machinery and Equipment Manufacturing
311222,Soybean Processing
45391,Pet and Pet Supplies Stores
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
33152,Nonferrous Metal Foundries
333512,Machine Tool (Metal Cutting Types) Manufacturing
322223,"Plastics, Foil, and Coated Paper Bag Manufacturing"
42299,Other Miscellaneous Nondurable Goods Wholesalers
32591,Printing Ink Manufacturing
11411,Fishing
42371,Hardware Merchant Wholesalers
56291,Remediation Services
31132,Chocolate and Confectionery Manufacturing from Cacao Beans
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing"
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing
812332,Industrial Launderers
61162,Sports and Recreation Instruction
333912,Air and Gas Compressor Manufacturing
326291,Rubber Product Manufacturing for
332912,Fluid Power Valve and Hose Fitting Manufacturing
33122,Rolling and Drawing of Purchased Steel
331112,Electrometallurgical Ferroalloy Product Manufacturing
56299,All Other Waste Management Services
23799,Other Heavy and Civil Engineering Construction
33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
45399,All Other Miscellaneous Store Retailers
11213,Dual-Purpose Cattle Ranching and Farming
33299,All Other Fabricated Metal Product Manufacturing
72231,Food Service Contractors
33221,Cutlery and Handtool Manufacturing
111421,Nursery and Tree Production
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
42452,Livestock Merchant Wholesalers
44523,Fruit and Vegetable Retailers
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
33331,Commercial and Service Industry Machinery Manufacturing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
32222,Paper Bag and Coated and Treated Paper Manufacturing
11221,Hog and Pig Farming
213113,Support Activities for Coal Mining
32616,Plastics Bottle Manufacturing
111331,Apple Orchards
54138,Testing Laboratories and Services
31324,Knit Fabric Mills
311213,Malt Manufacturing
48851,Freight Transportation Arrangement
33991,Jewelry and Silverware Manufacturing
335929,Other Communication and Energy Wire Manufacturing
31499,All Other Textile Product Mills
333298,All Other Industrial Machinery Manufacturing
31311,"Fiber, Yarn, and Thread Mills"
326211,Tire Manufacturing (except Retreading)
325222,Noncellulosic Organic Fiber Manufacturing
31191,Snack Food Manufacturing
33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
33351,Metalworking Machinery Manufacturing
33621,Motor Vehicle Body and Trailer Manufacturing
335228,Other Major Household Appliance Manufacturing
92114,"Executive and Legislative Offices, Combined"
42249,Other Grocery and Related Products Wholesalers
483111,Deep Sea Freight Transportation
483113,Coastal and Great Lakes Freight Transportation
44719,Other Gasoline Stations
336414,Guided Missile and Space Vehicle Manufacturing
711211,Sports Teams and Clubs
21229,Other Metal Ore Mining
314999,All Other Miscellaneous Textile Product Mills
332322,Sheet Metal Work Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
312112,Bottled Water Manufacturing
33271,Machine Shops
111422,Floriculture Production
325191,Gum and Wood Chemical Manufacturing
532299,All Other Consumer Goods Rental
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
111334,Berry (except Strawberry) Farming
33699,Other Transportation Equipment Manufacturing
33531,Electrical Equipment Manufacturing
332211,Cutlery and Flatware (except Precious) Manufacturing
331513,Steel Foundries (except Investment)
23711,Water and Sewer Line and Related Structures Construction
21311,Support Activities for Mining
21211,Coal Mining
212111,Bituminous Coal and Lignite Surface
